,image,emotion,mouth_distance,average_distance,eye-brows,eye_size
3092,Martin_Scorsese_0007.jpg,1,63.99331898298244,72.62899424126888,-38,47.31601376430831
2539,Judd_Davies_0001.jpg,1,73.90366672336074,65.26384599014685,-28,47.11298580045613
1956,Jackie_Chan_0002.jpg,0,106.52964083676181,76.10768669489595,-38,30.35767481401892
652,Carlos_Vives_0003.jpg,0,56.168039429431985,44.923967389587936,-79,39.56992612973666
1797,Harrison_Ford_0004.jpg,0,81.422293604593,75.58099215697375,-18,42.406439495890424
786,Cindy_Taylor_0001.jpg,0,95.37350176141172,65.98752274058671,-36,56.65687276382169
285,Anthony_LaPaglia_0001.jpg,0,98.47270942078052,68.22467748290981,-77,44.026780490330836
1862,Horst_Koehler_0002.jpg,1,58.64297500063999,58.986533343780735,-40,36.160288748362646
1833,Herb_Sendek_0001.jpg,1,107.90187303065744,80.9473281797884,-48,34.034460216702925
2432,John_Paul_II_0010.jpg,1,61.505723704274544,79.45105917795098,-15,46.09172527058943
993,Dave_Odom_0001.jpg,2,116.74302347211592,87.56494006378183,-48,54.563023374982805
3563,Paul_Bettany_0001.jpg,1,65.12889826803627,69.97778008684152,-21,55.44330788796144
1971,Jack_Straw_0011.jpg,1,49.6633025997652,79.8373034736993,-18,45.630333502979155
4618,Venus_Williams_0011.jpg,0,129.63792253146823,74.60567909309033,-63,46.80631781887815
2069,Jan-Michael_Gambill_0002.jpg,0,124.80796603180742,71.8487935524884,-41,38.05670217496734
654,Carl_Levin_0001.jpg,1,76.37620508069665,58.309394700859514,-61,37.239353616562205
3931,Rodrigo_Borja_0001.jpg,0,81.57156023654053,60.453821848784436,-62,39.64896852363135
1351,Francisco_Flores_0004.jpg,0,116.64939293550809,74.29726281126159,-41,38.51307750453579
2011,Jafar_Umar_Thalib_0001.jpg,0,113.35905438900517,78.92215214130896,-66,48.23107944175166
939,Cruz_Bustamante_0002.jpg,1,63.59545925715358,56.74038643935373,-72,41.694173200701776
2142,Jeane_Kirkpatrick_0001.jpg,2,63.30486507703307,83.1496259409364,-44,55.14855842601797
1505,George_W_Bush_0257.jpg,1,84.148795130252,68.49617030185529,-53,36.89844868334291
3968,Rollie_Massimino_0001.jpg,4,99.642739972728,84.4609305473681,-61,40.48263990560941
3395,Natanaela_Barnova_0001.jpg,0,95.9618710453316,66.81955508065337,-34,44.558473534264934
1348,Flavia_Delaroli_0001.jpg,0,90.43247329637393,63.89784403497773,-28,45.92473716218861
3605,Paul_Wolfowitz_0001.jpg,1,80.61834641897579,78.101325478653,-51,45.39459230135623
1017,David_Heymann_0004.jpg,1,75.45473442751923,73.86317338398709,-49,54.597368921699626
530,Bob_Menendez_0001.jpg,0,141.97255112074805,83.92046124086124,-52,38.90390154622329
1729,Gustavo_Terrazas_0001.jpg,1,65.19040695905758,50.418553064120985,-78,56.38378901799588
4776,Yoriko_Kawaguchi_0009.jpg,0,119.03162728770002,72.25826241952731,-21,38.864121141745656
82,Alejandro_Lerner_0001.jpg,1,66.72603254504376,62.805963891544735,-53,46.883072196552554
3202,Michael_Guiler_0001.jpg,1,65.78273216898577,48.1916162538945,-41,42.85160635242332
1425,George_Lopez_0004.jpg,0,133.9868283573342,76.49007104754271,-61,36.345913744774606
1751,Hal_Sutton_0001.jpg,0,89.5536525074441,72.0554440984264,-46,43.63893175653671
1882,Hugo_Chavez_0041.jpg,0,128.72436911017965,76.0939267181751,-46,36.72193846769957
3309,Mohamed_ElBaradei_0006.jpg,1,69.45193687140163,73.3748507894476,-49,43.249168599149684
3022,Mariah_Carey_0005.jpg,0,97.50984890136776,80.77475463385309,-51,52.35483739777594
2029,James_Comey_0001.jpg,0,100.03781893907617,73.46097550499398,-58,43.72101825063163
1604,Gerhard_Schroeder_0031.jpg,0,97.4228679363202,66.862101802437,-45,30.526232922463677
2239,Jeremy_Greenstock_0018.jpg,0,79.90822527643545,73.90855339340557,-61,46.65063653441993
358,Arnold_Schwarzenegger_0014.jpg,0,100.21983625199323,68.89303302947259,-47,39.48223580132523
2585,Junko_Tabei_0001.jpg,1,70.34949090774828,69.55327207047374,-32,53.52316327776586
3843,Richard_Parsons_0001.jpg,1,70.1664358259653,61.54553902357524,-63,35.1090591402385
3838,Richard_Myers_0009.jpg,1,71.97030935911746,77.79868356443997,-42,45.21538202687612
3081,Martina_Hingis_0003.jpg,2,125.12389201559921,86.09088427163053,-40,46.65063653441993
1500,George_W_Bush_0241.jpg,1,72.12003153811398,68.32125670424293,-46,38.32882912483157
2358,John_Ashcroft_0005.jpg,2,72.84378203277237,77.43876501462054,-64,50.988379960307824
3059,Mark_Lazarus_0001.jpg,1,83.61392314823686,63.940075549264684,-47,43.53158239713612
3996,Rubens_Barrichello_0006.jpg,0,89.20329161121222,48.33671412628244,-70,51.93370493486508
4469,Tom_Ridge_0021.jpg,1,44.65013254351476,70.57025659523251,-25,45.35406000802551
2325,Joe_DeLamielleure_0001.jpg,0,131.8947689996887,76.47810624808984,-44,33.28722145754105
1975,Jack_Straw_0019.jpg,1,59.5716241745103,55.63176789044114,-46,30.83171693219151
762,Christopher_Matero_0001.jpg,0,130.8331275044414,82.90547051626021,-55,37.321839276764976
4206,Silvio_Berlusconi_0022.jpg,1,54.07680962081059,71.40052545046204,-55,41.67192944530061
1648,Glen_DaSilva_0001.jpg,0,65.26820631121639,65.10838714117074,-35,35.432732301518
3656,Pete_Sampras_0008.jpg,0,90.44838358303076,67.71406048886209,-62,52.45231774091452
3400,Natasha_McElhone_0002.jpg,0,117.5658391684973,78.87053306628,-29,53.98442365734725
2175,Jennie_Garth_0001.jpg,0,69.27687561320023,70.0906558911571,-35,58.0587358840867
3508,Osama_bin_Laden_0001.jpg,1,94.37194978148995,67.68493185340441,-88,54.392676353952154
89,Alejandro_Toledo_0012.jpg,0,106.88007680368864,64.15275954386863,-79,47.512259504790705
164,Alvaro_Uribe_0032.jpg,0,84.2280602644294,68.99716658341697,-47,44.66557644910616
2049,James_May_0001.jpg,1,126.42911967535404,69.06322168828645,-81,47.50421566922751
1330,Ferenc_Madl_0001.jpg,1,96.01078596165429,63.19645352988034,-45,35.470544473985896
3206,Michael_Jordan_0004.jpg,1,68.61525841574192,64.0728830517291,-65,43.018612453244735
632,Carlos_Menem_0004.jpg,0,103.66204651275228,65.99624641994794,-44,35.84828491262014
4057,Sammy_Knight_0001.jpg,0,102.84792207607566,77.4483698989204,-41,47.94546672724187
2169,Jeffrey_Immelt_0001.jpg,0,98.57091802380437,69.43254455905124,-56,48.653754682629724
518,Bob_Hartley_0001.jpg,0,95.28207976189223,72.83987569559328,-57,48.08359357407895
2437,John_Reilly_0002.jpg,0,68.77466436536777,51.14926804077714,-61,45.546202613403224
2506,Jose_Maria_Aznar_0014.jpg,1,68.02916978301627,65.93648806599809,-64,45.05706011214647
3278,Mike_Weir_0010.jpg,0,105.59057374301065,79.79970736693056,-43,44.6108921358199
3769,Ray_Romano_0006.jpg,0,125.57230530809659,77.6689140365208,-62,48.17988191376011
2041,James_Kelly_0008.jpg,0,72.428916265763,57.85720437954047,-61,38.19068868173922
2703,King_Abdullah_II_0001.jpg,0,109.4017021921629,73.01651706775584,-40,42.87025558463664
