image,emotion
Magdalena_Maleeva_0001.jpg,6
CONTEMPT/contempt (714).jpg,1
Massoud_Barzani_0001.jpg,5
ANGER/anger (5272).jpg,0
HAPPINESS/happiness (6058).jpg,4
SADNESS/sadness (5417).jpg,6
CONTEMPT/contempt (385).jpg,1
Penelope_Cruz_0001.jpg,4
CONTEMPT/contempt (411).jpg,1
NEUTRAL/neutral (3691).jpg,5
Alejandro_Toledo_0036.jpg,5
Adrien_Brody_0002.jpg,5
CONTEMPT/contempt (102).jpg,1
Hugo_Chavez_0047.jpg,4
HAPPINESS/happiness (3466).jpg,4
CONTEMPT/contempt (824).jpg,1
SADNESS/sadness (3326).jpg,6
FEAR/fear (3852).jpg,3
HAPPINESS/happiness (7).png,4
Mitt_Romney_0001.jpg,5
DISGUST/disgust (1671).jpg,2
HAPPINESS/happiness (63).jpg,4
Ariel_Sharon_0032.jpg,4
NEUTRAL/neutral (4384).jpg,5
Paul_Patton_0001.jpg,5
Guido_Westerwelle_0002.jpg,5
SADNESS/sadness (5098).png,6
NEUTRAL/neutral (4511).jpg,5
SURPRISE/surprise (43).jpg,7
Mahima_Chaudhari_0001.jpg,4
SADNESS/sadness (5804).jpg,6
ANGER/anger (406).jpg,0
HAPPINESS/happiness (8537).png,4
FEAR/fear (2066).jpg,3
Momir_Nikolic_0001.jpg,5
ANGER/anger (5392).jpg,0
SADNESS/sadness (1960).jpg,6
NEUTRAL/neutral (3273).jpg,5
SURPRISE/surprise (4961).jpg,7
SADNESS/sadness (4138).jpg,6
FEAR/fear (2157).jpg,3
DISGUST/disgust (1845).jpg,2
SADNESS/sadness (1223).jpg,6
Emmit_Smith_0001.jpg,5
Lesley_McCulloch_0003.jpg,4
CONTEMPT/contempt (872).jpg,1
HAPPINESS/happiness (2285).jpg,4
CONTEMPT/contempt (430).jpg,1
HAPPINESS/happiness (4567).jpg,4
CONTEMPT/contempt (834).jpg,1
SADNESS/sadness (398).jpg,6
Gerard_de_Cortanze_0001.jpg,5
SURPRISE/surprise (4083).jpg,7
Fruit_Chan_0001.jpg,5
NEUTRAL/neutral (1858).jpg,5
DISGUST/disgust (4088).jpg,2
NEUTRAL/neutral (4686).jpg,5
Gloria_Macapagal_Arroyo_0039.jpg,4
ANGER/anger (6068).jpg,0
Yoko_Ono_0006.jpg,5
FEAR/fear (4755).jpg,3
ANGER/anger (6063).jpg,0
Laura_Bush_0035.jpg,4
